id,brand,name,price,description,rating,category,product_type,product_colors
1041,zorah biocosmetiques,Liquid Liner,0.0,"<strong>12 hours of long-lasting</strong> intense color, transfer-free (leaves no trace on crease above the eyelid) <strong>Pure Light Capture®</strong> <strong>minerals</strong> deliver color and radiance. Silky lines and refreshingly light, Pure Argan eyeliner leaves a weightless feel on the eyelids.<p align='LEFT'>Natural cosmetic certified by Ecocert Greenlife according to Ecocert Standard available at: http://cosmetiques.ecocert.com</p>98% of the total ingredients are from natural origin 5% of total ingredients are from organic farming",,liquid,eyeliner,"[{'hex_value': '#000000', 'colour_name': 'Black'}]"
1040,zorah biocosmetiques,Eyeshadow,0.0,"<strong>Product Description</strong>Anti-aging formula made with organic Pure Argan oil and Pure Light Capture<sup>®</sup> pigments. 24 Hour crease-free intensity (no build-up increase of eyelid), no running. Pure Light Capture® pigments deliver color and luminosity. Silky and refreshingly light feel, Pure Argan eyeshadow is weightless on the eyelids. Pure Argan eyeshadow <strong>soothes</strong>, <strong>hides redness </strong>and <strong>slows the appearance of the signs of aging on the skin.</strong><p align='LEFT'>Natural cosmetic certified by Ecocert Greenlife according to Ecocert Standard available at: http://cosmetiques.ecocert.com</p>100% of the total ingredients are from natural origin5% of total ingredients are from organic farming",,,eyeshadow,"[{'hex_value': '#966A54', 'colour_name': 'Sahara'}, {'hex_value': '#6B7475', 'colour_name': 'Evrest'}, {'hex_value': '#444446', 'colour_name': 'Casablanca'}]"
1039,w3llpeople, Realist Invisible Setting Powder,0.0,"<span style=""font-weight: 400;"">Keep it real with a polished, soft-focus look using this superfine, loose mineral powder. The healing properties of organic aloe help soothe and calm stressed out skin. Instantly minimize pores, soften imperfections, and creates a matte finish with superfine powder. Use by itself for an air-brushed look, or to set foundation for ultra-long wear.</span><span style=""font-weight: 400;"">* Set makeup or by itself for matte air-brushed effect</span><span style=""font-weight: 400;"">* Absorbs excess oil while softening fine lines</span><span style=""font-weight: 400;"">* Organic aloe creates radiant, rejuvenated skin</span><span style=""font-weight: 400;"">* Hypoallergenic, Chemical Free, Cruelty Free &amp; Noncomedogenic </span><span style=""font-weight: 400;"">* EWG Verified for non-toxic health and safety</span><span style=""font-weight: 400;"">* Free From: Parabens, Gluten, GMO, Phthalates, Sulfates, Fragrance, Pheonoxyethanol, Dimethicone, PEG, Propylene Glycol, Butylene Glycol, Lead, Mineral Oil, Talc</span>",,powder,foundation,"[{'hex_value': '#E8E6E7', 'colour_name': 'Translucent'}]"
1038,sally b's skin yummies,B Smudged,0.0,"Let your eyes naturally pop with our B Smudged, a subtle eye color that adds a tint of color to the base of your lashes. An organic, cream eye color, B Smudged eliminates the inevitable uneven line from traditional eyeliners, and does not require expert blending techniques of messy, powder-based shadows. Simply 'smudge' along lash line for color that stays in place for a long lasting look.",,,eyeshadow,"[{'hex_value': '#485376', 'colour_name': 'B smudged'}]"
1037,sally b's skin yummies,B Glossy Lip Gloss,0.0,"Intensify your natural lip color with Sally B's B Glossy Lip Gloss, an organic lip gloss that adds a silky smooth hint of color and shimmer to lips. Formulated with 98% certified organic, moisture-rich ingredients our B Glossy Lip Gloss works to enrich lip health for lips that feel good and look even better.",,lip_gloss,lipstick,"[{'hex_value': '#BF5D7F', 'colour_name': ""Every Blonde's Pink""}, {'hex_value': '#D84945', 'colour_name': 'Primrose'}, {'hex_value': '#E1A2A0', 'colour_name': 'Soft Kiss'}, {'hex_value': '#B82F42', 'colour_name': ""Ruby's Red""}, {'hex_value': '#BE5F37', 'colour_name': 'Copper Penny'}, {'hex_value': '#8F4636', 'colour_name': 'Sweet Plum'}]"
1036,rejuva minerals,Multi Purpose Powder - Blush & Eye,0.0,"Our Multi Purpose Pressed Powders may be used for blush or eye shadow. Blended with antioxidants from Certified Organic Fruits, Berries &amp; Botanicals*. Made without any gluten containing ingredients. Mica free Pink Parfait and Papaya will offer a natural, ultra sheer semi-matte finish. The petals from beautiful crushed red roses that are found in Pink Parfait, are valued for their natural color and delightful aroma that they provide! Acai Berry will offer a natural, ultra sheer satin finish (mica added). VEGAN. Image one is Pink Parfait. Image two is Papaya, and image three is Acai Berry. Model in image four is wearing Papaya. Model in image five is wearing Acai Berry. To see a demonstration of Papaya, click on the video and fast forward to 3:44. Enjoy! This product is EWG VERIFIED&#x2122; and rated 'CLEAN'in the Think Dirty app! BPA and Phthalate free packaging. Plastic parts of compacts are recyclable. *Tiny flecks of fruit and botanical particles may be visible in powder. Pink Parfait and Papaya are Titanium Dioxide and Mica free. Net Weight: 2.8 gm.",,,eyeshadow,"[{'hex_value': '#E1BFC0', 'colour_name': 'Pink Parfait'}, {'hex_value': '#D7A7A3', 'colour_name': 'Papaya'}, {'hex_value': '#E6C3CB', 'colour_name': 'Acai Berry'}]"
1035,rejuva minerals,Multi Purpose Powder - Blush & Eye,0.0,"Our Multi Purpose Pressed Powders may be used for blush or eye shadow. Blended with antioxidants from Certified Organic Fruits, Berries &amp; Botanicals*. Made without any gluten containing ingredients. Mica free Pink Parfait and Papaya will offer a natural, ultra sheer semi-matte finish. The petals from beautiful crushed red roses that are found in Pink Parfait, are valued for their natural color and delightful aroma that they provide! Acai Berry will offer a natural, ultra sheer satin finish (mica added). VEGAN. Image one is Pink Parfait. Image two is Papaya, and image three is Acai Berry. Model in image four is wearing Papaya. Model in image five is wearing Acai Berry. To see a demonstration of Papaya, click on the video and fast forward to 3:44. Enjoy! This product is EWG VERIFIED&#x2122; and rated 'CLEAN'in the Think Dirty app! BPA and Phthalate free packaging. Plastic parts of compacts are recyclable. *Tiny flecks of fruit and botanical particles may be visible in powder. Pink Parfait and Papaya are Titanium Dioxide and Mica free. Net Weight: 2.8 gm.",,powder,blush,"[{'hex_value': '#E1BFC0', 'colour_name': 'Pink Parfait'}, {'hex_value': '#D7A7A3', 'colour_name': 'Papaya'}, {'hex_value': '#E6C3CB', 'colour_name': 'Acai Berry'}]"
1034,rejuva minerals,Multi Purpose Powder - Eye Shadow & Face,0.0,"Our Multi Purpose Pressed Powders may be used as eye shadow, brow powder, eye liner, or for highlighting. Blended with antioxidants from Certified Organic Fruits, Berries &amp; Botanicals*. No gluten derived ingredients. VEGAN. All shades will offer a semi-matte finish, with the exception of White Diamond. White Diamond will offer a shimmery finish. Image one shows shade in Iris. This product is EWG VERIFIED&#x2122; and rated 'CLEAN' in the Think Dirty app! BPA and Phthalate free packaging. Plastic parts of compacts are recyclable.",,,eyeshadow,"[{'hex_value': '#F7F8F3', 'colour_name': 'White Diamond'}, {'hex_value': '#E8B49B', 'colour_name': 'Tropical Sunset'}, {'hex_value': '#292627', 'colour_name': 'Moonless Night'}, {'hex_value': '#A17E69', 'colour_name': 'Mocha Latte'}, {'hex_value': '#8C666E', 'colour_name': 'Iris'}, {'hex_value': '#615349', 'colour_name': 'Brazillian Brown'}, {'hex_value': '#F7DEC4', 'colour_name': 'Beach Bum'}]"
1033,rejuva minerals,Pressed Powder Foundation,0.0,"Coconut Cream - Warm Undertones (yellow) Light Shade. May also be used as a highlighting shade! About our pressed foundations:<ul><li>Provides a silky smooth, natural 'semi-matte' finish</li><li>All skin types</li><li>Will not dry out skin (apply light moisturizer underneath for best results)</li><li>Resists caking and settling in lines and pores</li><li>Layers to provide a light-medium (buildable) coverage</li><li>Eco-friendly, biodegradable compact</li><li>Colored with minerals and enhanced with organic fruits and botanicals</li><li>Infused with conditioning organic jojoba oil</li><li>Formulated without common skin irritants.</li></ul>",,powder,foundation,"[{'hex_value': '#FBE9CD', 'colour_name': 'Coconut Cream'}, {'hex_value': '#E6B588', 'colour_name': 'Dune'}, {'hex_value': '#EBC8A0', 'colour_name': 'Glow'}, {'hex_value': '#F8E3D5', 'colour_name': 'Nude'}, {'hex_value': '#D8B39B', 'colour_name': 'Radiance'}, {'hex_value': '#E7CDBA', 'colour_name': 'Sand'}, {'hex_value': '#F1C4A8', 'colour_name': 'Sea Shell'}, {'hex_value': '#D1B594', 'colour_name': 'Taffy'}, {'hex_value': '#9C7248', 'colour_name': 'Bahama Mama'}, {'hex_value': '#DDA983', 'colour_name': 'St Tropez'}]"
1032,rejuva minerals,Bronzer - loose,0.0,"Caribbean is a multi-purpose shade that is suitable for medium-tan skin tones. This shade may be used as a bronzer, or as a contour shade. <ul><li>Our bronzer has been enhanced with Fruits, Botanicals and Clays for their natural color, fragrance and antioxidant benefits!</li><li>Blended with Certified Organics Fruits and Botanicals</li><li>Formulated with common skin irritants.</li><li>Our bronzer will offer a natural “ultra sheer” semi-matte finish.</li><li>Made without any gluten containing ingredients</li><li>VEGAN!</li><li>Eco Friendly jars!</li></ul>",,powder,bronzer,"[{'hex_value': '#A37948', 'colour_name': 'Caribbean'}]"
